author,message,timestamp
@nglam1403,hello anh ba,0:20
@minhphongtran2506,2,0:25
@Scooby-kv8dc,Hi thầy,0:25
@HieuLe-en7pw,Lô lô ,0:25
@ucduy9426,Hello,0:27
@HienTran-fw1su,hú,0:27
@TNhan-lj2le,hi ghế,0:27
@khangcute,lô,0:27
@SnailOfficial,Nghiệp 30 shine,0:27
@youngvenn,123,0:27
@politely2012,cc,0:27
@leevix0510,Hello ,0:27
@thanhuctoannguyen5964,Lô,0:28
@emtenminh5970,Hêlo,0:28
@dtruognsaf5662,Lol,0:28
@hoaphamthai7301,hê nhô,0:28
@phuctruong5438,hello thaayf',0:28
@baoduongtrung9342,sao hqua sủi z abe,0:29
@xuandong2512,hello thầy yêu,0:29
@tanthuan2002,Hello aba,0:29
@etran9035,ủa,0:33
@TuanNguyen-ex6nq,?,0:33
@thaicuong4981,hello ông già,0:35
@VyNguyen-ej4nr,lô,0:35
@trungzom3012,hứa phan,0:35
@trongucnguyen8096,Hello abe,0:35
@VuNguyen-ol1lu,Hi,0:36
@phamoanquan8081,cak,0:36
@minhat8000,cc,0:36
@thachkhang8354,Chào thầy ,0:37
@khoi3307,lo cc ,0:37
@PhuongNguyen-xk9wu,hello,0:37
@yspentakil499,xin chào,0:37
@rep.storm1,yo,0:42
@ngyuh3350,hello cc,0:43
@Messiuuuu1717,nhớ e ko thày,0:43
@hieuthanh8662,hi,0:43
@khoaTrần01,hi,0:44
@nguyenvothanhan6523,Hello ông già ,0:44
@tynguyen9834,à nhon xe dố,0:44
@vinhnguyen6311,lô,0:44
@lohacker5298,lo,0:45
@buitien3477,k co thong bao,0:46
@minhducne1403,hello nè thầy,0:46
@tpham158,hello ông già,0:47
@nguyenvanduy2732,chào trung ,0:48
@trietle-t4r,chào,0:51
@anhquoc2264,sủi phan,0:53
@nguyendinh2055,ủa sao nay qua đây rồi ông già,0:53
@ledat9617,ae chào anh ba,0:53
@luuthieuky5,hứa phan ,0:54
@manhchien599,lô ông già,0:55
@yaiichi302,streamer hết thời,0:55
@huyr6250,hi,0:57
@aihai6407,lô,0:58
@SonNguyen-fq9ht,lô lô lô,0:58
@TuanBui-lf7vo,hello anh ba,0:59
@HieuLe-en7pw,Lô lô,1:02
@voky4812,sao hum qua ko Stream anh Ba >?,1:02
@tritran980,yêu ông già,1:03
@nguyenvanhungg6,hello aba sủi nha,1:04
@hoangominh1980,pr,1:04
@joseph8842-s5m,hết thời yêu thầy,1:05
@heriaaaaa,lô ông già nha,1:05
@mancong4760,pr,1:05
