author,message,timestamp
@NgânKim-h7x3t,éc éc,0:41
@nguyenbachai,helo aaaa,0:43
@hoangthanhson2717,Chào b lâu k gặp dạo khoẻ k bạn,0:47
@NguyễnĐức-k3f,E chs vs,0:49
@tranduyhung3550,Hello anhhh,0:50
@liemouc4001,loa,0:50
@hoanghaihjhj,anh zai ,0:51
@sonpham6613,Hi ,0:53
@NguyễnĐức-k3f,E chs vs a ơi,1:06
@duytan615,mic,1:11
@NgânKim-h7x3t,mic đâuuuu,1:13
@19.nguyentrongkhanh14,Lo a,1:16
@minhchaupham-og3sm,nay anh k chơi với Bâng nua haaaa,1:18
@tienatpham5301,Nhạc game nó lớn quá anh ơi,1:19
@Kien-uc2vy,hello a,1:20
@DuyPham-cc6eo,nhạc game to quá,1:21
@BichNu-x7y,,1:27
@hoangthanhson2717,Nhạc to k nghe tiếng người đâu,1:28
@tranduyhung3550,Nhạc game to quá anhh,1:29
@duytan615,mic nhỏ,1:35
@tranduyhung3550,Mic nhỏ,1:36
@yibae9,mừng quá ổng chia tay bâng rồi,1:39
@PhanVănNam12345,hello đi sea game về có gì vui không ADC ?,1:40
@DuyPham-cc6eo,mic lớn 1 tí a ơi,2:01
@hoangthanhson2717,Lâu k gặp dạo ổn k b,2:01
@TôNgôVânHà,ok a,2:58
@NgânKim-h7x3t,ok luôn,3:01
@danhvo424,dạo này ah Chín phờ lóp thế,3:02
@DuyPham-cc6eo,tiếng game to 1 xíu a ơi,3:05
@DuyPham-cc6eo,đẹp r,3:22
@PhanVănNam12345,đếm đến số 100 mới to được,3:25
@QuýHải-f2k,ủa sao nay flop à hay sao view ít z,3:33
@ThiệnTríLê-i7v,siêu việt đi a,3:48
@ThiệnTríLê-i7v,Siêu Việt đê,4:09
@VN_Zataz,nay anh ko giao kính với bánh nữa à anh chín:))),4:27
@bellesocutis,hello anh,4:29
@PhanVănNam12345,làm huấn luyện viên không đơn giản đâu,4:57
@PhucNguyen-fr3uq,.......,5:15
@quanao7601,hlv phải luyện cả ăn chủi nữa,5:16
@SơnLê-u2p,helo a,5:42
@huvo2689,hello a,6:10
@nguyen1758,A test Zata bản mới chưa,7:27
@DuyPham-cc6eo,thiếu mỗi nấu cơm,7:42
@ThiệnTríLê-i7v,đầu bếp nữa,7:43
