author,message,timestamp
@epicminermc,Đầu,0:27
@Dhaaa11.9,hiii,0:32
@theanh-g4u,hi,0:32
@oThuyDung-dn2gd,Hello anh,0:33
@ntmh017,hai,0:34
@epicminermc,Hữu duyên,0:38
@LinhThuy-jo5wr,ủa,0:39
@LinhLinh-k6f,hello anh,0:42
@Unserious-n1q,hí anh Bánh,0:42
@KhangHoàng-t7i,hi,0:45
@epicminermc,:)),0:45
@LinhThuy-jo5wr,ảnh live yt à,0:46
@Miyano019,hi,0:47
@QuyênVũ-q9d,hi anh,0:48
@KhoaPi920,nc,0:48
@NguyenTrungDung-j6c,hi,0:53
@VULE-cl7ef,hai,0:58
@MinhNguyenhoang-h3v,hi anh,1:06
@oThuyDung-dn2gd,Hello anh ,1:07
@reginalee9422,hi anh,1:12
@QuyênVũ-q9d,hai,1:15
@MinhNguyenhoang-h3v,chúc anh buổi tối xui zẻ,1:22
@alden.502,hí lu Bâng,1:30
@xaovn6911,bâng giải nghệ à,2:01
@MinhNguyenhoang-h3v,chào anh nhe ,2:11
@_phnhung,"dnt wescan traidepchaua, stk 0331000492248 vcb Thong Lai Bang",2:19
@alden.502,a Bâng có stream trên tik ko á,2:19
@_phnhung,ghim,2:23
@MinhNguyenhoang-h3v,hi,2:29
@deptraicogisai09,Con gà Lai bâng,2:43
@MinhHoangLeHuynh,Hello Bâng,2:46
@TrọngHuỳnhcat08,helo đại ca Thóng,3:07
@MinhHoangLeHuynh,Hallo Bâng,3:10
@MinhNguyenhoang-h3v,hi anh,3:12
@DuyLò-k2t3i,anh \ơi mai con thi hsg cấp tỉnh rồi bác chúc con điiiiiiiiii!,3:17
@MinhNguyenhoang-h3v,hello anh,3:23
@MinhHoangLeHuynh,Donate ở đâu nhỉ,3:25
@MinhNguyenhoang-h3v,hello,3:39
@naruto-qe9gi,phải TSS Không AE,3:40
@alden.502,vô tay Bâng có gọi là out meta nữa k ta :),3:48
@anhthuw3108,helu anhhh ,3:50
@sunleej.007,Bâng chào em đi,3:56
@MinhNguyenhoang-h3v,giống tss nhờ,4:02
@MinhNguyenhoang-h3v,Hi,4:09
@torgisfine,TSS à mn?,4:11
@naruto-qe9gi,phải Tss không ae,4:14
@MinhNguyenhoang-h3v,giống tss,4:24
@Ailen_Kairu,Live j đây anh chs vs Teams hay kéo rank fan đây :3,4:36
@MinhNguyenhoang-h3v,ô,4:40
@hieucao9133,tss mà ae,4:41
@x22th.August,Dép ngồi sau mà,4:45
@hieucao9133,chào e ik anh bâng m8,5:00
@MinhNhật-p1u,tss nào v tr,5:03
@x22th.August,Zeref chứ tss nào v mấy bố,5:05
@MinhNguyenhoang-h3v,chắc ko phải,5:07
@NguyenCuong-r9b,turtlt chứ tss nào,5:12
@MinhNguyenhoang-h3v,=))),5:17
@NguyenCuong-r9b,turtle,5:21
@torgisfine,zép=))0,5:24
@MinhNguyenhoang-h3v,,5:28
@MinhHoangLeHuynh,Donate ở đâu Bâng,5:31
@x22th.August,Rùa Dép Lạc chứ tss nào:)),5:31
@MinhNguyenhoang-h3v,turtle mà,5:46
@_phnhung,dnt ghim kìa mng,5:47
@MinhNguyenhoang-h3v,ô,5:57
@nthi0110,Ồ nay live bên đây hả,6:07
@MinhNguyenhoang-h3v,,6:18
@tấnsang-e3l,anh oi em bị thất tình rùi,6:22
@MinhNguyenhoang-h3v,ủa bên tik ko live à,6:35
@Rockyest,tư liệu quý về darcy,6:37
@MinhNguyenhoang-h3v,chuyển sang bên này,6:52
@tấnsang-e3l,buồn quá,6:56
@MinhNguyenhoang-h3v,=)))),6:59
@nguyenchiat4900,hay,7:18
@MinhNguyenhoang-h3v,hauuuuuu,7:28
@PhátNguyễn-m1r2i,gheee,7:28
@NguyenHuy-animedefen,Trận sau cầm krixi đi rừng đi ah :)),7:29
@Rockyest,m làm dc j pha đấy:))))),7:30
@Funnygaming09,em chào a Bâng,8:02
@MinhNguyenhoang-h3v,hayyy,8:22
@MinhNguyenhoang-h3v,chào anh,8:52
@Trangchoilq,Hê lô ,9:09
@MinhNguyenhoang-h3v,chào,9:13
@MinhNguyenhoang-h3v,hello,9:21
@anghai572,ây yo bờ rô,9:49
@NguyenHiep-i9y,bạn này kĩ năng cao sau này sẽ trở thành tuyển thủ và vô địch quốc tế chắc luôn,10:01
@xuanya4461,Cuối cùng cũng mở livestream rồi!(*¯︶¯*),10:06
@dqakt5,giải nghệ chưa em ơi,11:12
@BaoMinhVuong,chưa bao giờ ngừng đau mắt khi coi lai bâng đánh,11:40
@anzan0211,hồi tao còn đánh mày đâu có vô địch được đâu=)),11:53
@tuankietmo6405,trời sao chưa gì feed 3 mạng ròi Bánh=))),14:03
@duyphan7224,Kênh văn minh!!,14:58
@Hi-hl7dy,=)))) ảnh ồn zz,15:03
@LongThai-u2b,:))),15:06
@Nguyen1808nn,kkk,15:14
@minhykorner9361,=))),15:15
@tridoung,=)))))))))),15:17
@NguyenHiep-i9y,VTV đã xem,15:20
@TrọngHuỳnhcat08,:)))))),15:25
@huyle-yd5qr,thật VĂN MINH =))),15:28
@ntn6045,tuyển thủ gì mà chửi tục ghê bay,15:31
@Ditimvechonyenbinh,HAHAHA,15:34
@hieucao9133,trời ơi anh ơi,15:36
@taisui4632,=)))))))),16:01
@Ditimvechonyenbinh,lai bánh lại bậy r,16:20
@anzan0211,hồi tao còn đánh giải mày đâu có vô địch được đâu=)),16:28
@sunleej.007,=))) nma nghe ảnh chửi k thấy sát thương mà bcuoi,16:28
@tuankietmo6405,dịu dàng đi bánh=))),16:35
@ehettenandayo,anh này đẹp trai,16:44
@NguyenHiep-i9y,tuyển thủ nay thành tục thủ:)),16:49
@LongThai-u2b,tới h hát,16:53
@tuankietmo6405,ace luôn=)))),17:34
@duyphan7224,Bình tĩnh Bánh ơi,17:35
@vophucvinh1633,ồn kkkk,17:46
@duyphan7224,Ê rp,17:58
